127.0.0.1 - - [19/Oct/2015:19:20:17 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [19/Oct/2015:19:20:17 +0200] "GET /flashcard-basic/WEB-INF/classes/ch/fhnw/webfr/flashcard/web/QuestionnaireController.java HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Oct/2015:19:30:19 +0200] "GET /basic/questionnaires HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [19/Oct/2015:19:30:19 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [19/Oct/2015:19:31:44 +0200] "GET /flashcard-basic/WEB-INF/classes/ch/fhnw/webfr/flashcard/web/QuestionnaireController.java HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [19/Oct/2015:19:32:01 +0200] "GET /basic/questionnaires HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [19/Oct/2015:19:32:08 +0200] "GET /basic/questionnaires/0 HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [19/Oct/2015:19:32:11 +0200] "GET /basic/questionnaires/1 HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [19/Oct/2015:19:32:16 +0200] "GET /basic/questionnaires/2 HTTP/1.1" 200 156
0:0:0:0:0:0:0:1 - - [19/Oct/2015:19:36:42 +0200] "GET /basic/questionnaires HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [19/Oct/2015:19:37:39 +0200] "GET /basic/questionnaires HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [19/Oct/2015:19:37:46 +0200] "GET /basic/questionnaires HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [19/Oct/2015:19:41:29 +0200] "GET /basic/questionnaires HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [19/Oct/2015:19:42:07 +0200] "GET /basic/questionnaires HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [19/Oct/2015:19:42:18 +0200] "GET /basic/questionnaires HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [19/Oct/2015:19:42:21 +0200] "GET /basic/questionnaires HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [19/Oct/2015:19:42:22 +0200] "GET /basic/questionnaires HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [19/Oct/2015:19:42:28 +0200] "GET /basic/questionnaires HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [19/Oct/2015:19:43:06 +0200] "GET /basic/questionnaires HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [19/Oct/2015:19:43:08 +0200] "GET /basic/questionnaires HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [19/Oct/2015:22:20:01 +0200] "GET /basic/questionnaires HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [19/Oct/2015:22:20:03 +0200] "GET /basic/questionnaires HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [19/Oct/2015:22:20:14 +0200] "GET /basic/questionnaires HTTP/1.1" 200 271
