127.0.0.1 - - [29/Oct/2015:10:49:29 +0100] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:49:29 +0100] "GET /flashcard-basic/ HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:49:36 +0100] "GET /flashcard-basic/questionnaires HTTP/1.1" 200 3569
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:49:36 +0100] "GET /flashcard-basic/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:49:36 +0100] "GET /flashcard-basic/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:50:01 +0100] "POST /flashcard-basic/questionnaires HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:50:01 +0100] "GET /flashcard-basic/questionnaires HTTP/1.1" 200 4247
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:50:01 +0100] "GET /flashcard-basic/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:50:01 +0100] "GET /flashcard-basic/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:50:06 +0100] "POST /flashcard-basic/questionnaires HTTP/1.1" 200 1649
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:50:17 +0100] "POST /flashcard-basic/questionnaires HTTP/1.1" 200 1707
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:50:26 +0100] "POST /flashcard-basic/questionnaires HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:50:26 +0100] "GET /flashcard-basic/questionnaires HTTP/1.1" 200 4910
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:50:27 +0100] "GET /flashcard-basic/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:10:50:27 +0100] "GET /flashcard-basic/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:11:10:00 +0100] "GET /flashcard-basic/questionnaires HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [29/Oct/2015:11:10:00 +0100] "GET /flashcard-basic/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:11:10:00 +0100] "GET /flashcard-basic/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:11:10:27 +0100] "GET /flashcard-basic/questionnaires HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [29/Oct/2015:11:10:27 +0100] "GET /flashcard-basic/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:11:10:27 +0100] "GET /flashcard-basic/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:11:10:45 +0100] "GET /flashcard-basic/questionnaires HTTP/1.1" 200 3569
0:0:0:0:0:0:0:1 - - [29/Oct/2015:11:10:45 +0100] "GET /flashcard-basic/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:11:10:45 +0100] "GET /flashcard-basic/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:11:11:39 +0100] "GET /flashcard-basic/questionnaires HTTP/1.1" 200 3569
0:0:0:0:0:0:0:1 - - [29/Oct/2015:11:11:39 +0100] "GET /flashcard-basic/css/app.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:11:11:39 +0100] "GET /flashcard-basic/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2015:11:24:56 +0100] "GET /flashcard-basic/ HTTP/1.1" 404 992
